elapsed_secs,interval_secs,batches_received_total_delta,batches_published_total_delta,events_received_total_delta,events_published_total_delta,http_request_total_delta,http_request_errors_total_delta,http_response_1xx_total_delta,http_response_2xx_total_delta,http_response_3xx_total_delta,http_response_4xx_total_delta,http_response_5xx_total_delta,http_response_errors_total_delta,akamai_requests_total_delta,akamai_requests_success_total_delta,akamai_requests_errors_total_delta,offset_expired_total_delta,offset_ttl_drops_total_delta,hmac_refresh_total_delta,cursor_drops_total_delta,from_clamped_total_delta,api_400_fatal_total_delta,errors_total_delta
120,60,17,17,850000,850000,18,0,0,18,0,0,0,0,18,18,0,0,1,0,0,0,0,0
180,60,19,19,950000,950000,19,0,0,19,0,0,0,0,19,19,0,0,0,0,0,0,0,0
240,60,20,20,1000000,1000000,20,0,0,20,0,0,0,0,20,20,0,0,0,0,0,0,0,0
300,60,20,20,1000000,1000000,20,0,0,19,0,0,0,0,20,19,0,0,0,0,0,0,0,0
360,60,18,18,900000,900000,18,0,0,19,0,0,0,0,18,19,0,0,0,0,0,0,0,0
420,60,20,20,1000000,1000000,20,0,0,20,0,0,0,0,20,20,0,0,0,0,0,0,0,0
480,60,20,20,1000000,1000000,20,0,0,19,0,0,0,0,20,19,0,0,0,0,0,0,0,0
540,60,19,19,950000,950000,19,0,0,20,0,0,0,0,19,20,0,0,0,0,0,0,0,0
600,60,19,19,950000,950000,19,0,0,19,0,0,0,0,19,19,0,0,0,0,0,0,0,0
660,60,20,20,1000000,1000000,20,0,0,19,0,0,0,0,20,19,0,0,0,0,0,0,0,0
720,60,19,19,950000,950000,19,0,0,20,0,0,0,0,19,20,0,0,0,0,0,0,0,0
780,60,20,20,1000000,1000000,20,0,0,19,0,0,0,0,20,19,0,0,0,0,0,0,0,0
840,60,19,19,950000,950000,19,0,0,20,0,0,0,0,19,20,0,0,0,0,0,0,0,0
900,60,20,20,1000000,1000000,20,0,0,20,0,0,0,0,20,20,0,0,0,0,0,0,0,0
960,60,19,19,950000,950000,19,0,0,19,0,0,0,0,19,19,0,0,0,0,0,0,0,0
1020,60,20,20,1000000,1000000,20,0,0,20,0,0,0,0,20,20,0,0,0,0,0,0,0,0
1080,60,20,20,1000000,1000000,20,0,0,19,0,0,0,0,20,19,0,0,0,0,0,0,0,0
1140,60,19,19,950000,950000,19,0,0,20,0,0,0,0,19,20,0,0,0,0,0,0,0,0
1200,60,19,19,950000,950000,19,0,0,19,0,0,0,0,19,19,0,0,0,0,0,0,0,0
1260,60,20,20,1000000,1000000,20,0,0,20,0,0,0,0,20,20,0,0,0,0,0,0,0,0
1320,60,19,19,950000,950000,19,0,0,19,0,0,0,0,19,19,0,0,0,0,0,0,0,0
1380,60,20,20,1000000,1000000,20,0,0,20,0,0,0,0,20,20,0,0,0,0,0,0,0,0
1440,60,19,19,950000,950000,19,0,0,19,0,0,0,0,19,19,0,0,0,0,0,0,0,0
1500,60,19,19,950000,950000,19,0,0,19,0,0,0,0,19,19,0,0,0,0,0,0,0,0
1560,60,20,20,1000000,1000000,20,0,0,19,0,0,0,0,20,19,0,0,0,0,0,0,0,0
1620,60,19,19,950000,950000,19,0,0,20,0,0,0,0,19,20,0,0,0,0,0,0,0,0
1680,60,20,20,1000000,1000000,20,0,0,19,0,0,0,0,20,19,0,0,0,0,0,0,0,0
1740,60,19,19,950000,950000,19,0,0,20,0,0,0,0,19,20,0,0,0,0,0,0,0,0
