elapsed_secs,interval_secs,batches_received_total_delta,batches_published_total_delta,events_received_total_delta,events_published_total_delta,http_request_total_delta,http_request_errors_total_delta,http_response_1xx_total_delta,http_response_2xx_total_delta,http_response_3xx_total_delta,http_response_4xx_total_delta,http_response_5xx_total_delta,http_response_errors_total_delta,cel_executions_delta
120,60,4,4,240004,240004,4,0,0,4,0,0,0,0,4
180,60,4,4,240004,240004,4,0,0,4,0,0,0,0,4
240,60,5,5,300005,283762,4,0,0,4,0,0,0,0,4
300,60,4,4,240004,256247,5,0,0,5,0,0,0,0,5
360,60,4,4,240004,240004,4,0,0,4,0,0,0,0,4
420,60,5,5,300005,264227,4,0,0,4,0,0,0,0,4
480,60,4,4,240004,275782,5,0,0,5,0,0,0,0,5
540,60,4,4,240004,240004,4,0,0,4,0,0,0,0,4
600,60,4,4,240004,240004,4,0,0,4,0,0,0,0,4
660,60,5,5,300005,300005,5,0,0,4,0,0,0,0,5
720,60,4,4,240004,240004,4,0,0,5,0,0,0,0,4
780,60,4,4,240004,240004,4,0,0,4,0,0,0,0,4
840,60,5,5,300005,283699,4,0,0,4,0,0,0,0,4
900,60,4,4,240004,256310,5,0,0,5,0,0,0,0,5
960,60,4,4,240004,240004,4,0,0,4,0,0,0,0,4
1020,60,5,5,300005,264116,4,0,0,4,0,0,0,0,4
1080,60,4,4,240004,275893,5,0,0,5,0,0,0,0,5
1140,60,4,4,240004,240004,4,0,0,4,0,0,0,0,4
1200,60,4,4,240004,240004,4,0,0,4,0,0,0,0,4
1260,60,5,5,300005,300005,5,0,0,4,0,0,0,0,5
1320,60,4,4,240004,240004,4,0,0,5,0,0,0,0,4
1380,60,4,4,240004,240004,4,0,0,4,0,0,0,0,4
1440,60,5,5,300005,273528,4,0,0,4,0,0,0,0,4
1500,60,4,4,240004,266481,5,0,0,5,0,0,0,0,5
1560,60,4,4,240004,240004,4,0,0,4,0,0,0,0,4
1620,60,5,5,300005,243179,4,0,0,4,0,0,0,0,4
1680,60,4,4,240004,296830,5,0,0,5,0,0,0,0,5
1740,60,4,4,240004,240004,4,0,0,4,0,0,0,0,4
1800,60,4,4,240004,240004,4,0,0,4,0,0,0,0,4
1860,60,5,5,300005,265608,4,0,0,4,0,0,0,0,4
1920,60,4,4,240004,274401,5,0,0,5,0,0,0,0,5
1980,60,4,4,240004,240004,4,0,0,4,0,0,0,0,4
2040,60,4,4,240004,240004,4,0,0,4,0,0,0,0,4
2100,60,4,4,240004,240004,4,0,0,4,0,0,0,0,4
2160,60,5,5,300005,299625,4,0,0,4,0,0,0,0,4
2220,60,4,4,240004,240384,5,0,0,5,0,0,0,0,5
2280,60,4,4,240004,240004,4,0,0,4,0,0,0,0,4
2340,60,5,5,300005,263265,4,0,0,4,0,0,0,0,4
2400,60,4,4,240004,276744,5,0,0,5,0,0,0,0,5
2460,60,4,4,240004,240004,4,0,0,4,0,0,0,0,4
2520,60,4,4,240004,240004,4,0,0,4,0,0,0,0,4
2580,60,5,5,300005,296410,4,0,0,4,0,0,0,0,4
2640,60,4,4,240004,243599,5,0,0,5,0,0,0,0,5
2700,60,4,4,240004,240004,4,0,0,4,0,0,0,0,4
2760,60,5,5,300005,251833,4,0,0,4,0,0,0,0,4
2820,60,4,4,240004,288176,5,0,0,5,0,0,0,0,5
2880,60,4,4,240004,240004,4,0,0,4,0,0,0,0,4
2940,60,4,4,240004,240004,4,0,0,4,0,0,0,0,4
3000,60,5,5,300005,283031,4,0,0,4,0,0,0,0,4
3060,60,4,4,240004,256978,5,0,0,5,0,0,0,0,5
3120,60,4,4,240004,240004,4,0,0,4,0,0,0,0,4
3180,60,4,4,240004,240004,4,0,0,4,0,0,0,0,4
3240,60,5,5,300005,300005,5,0,0,5,0,0,0,0,5
3300,60,4,4,240004,240004,4,0,0,4,0,0,0,0,4
3360,60,4,4,240004,240004,4,0,0,4,0,0,0,0,4
3420,60,5,5,300005,277019,4,0,0,4,0,0,0,0,4
3480,60,4,4,240004,262990,5,0,0,5,0,0,0,0,5
3540,60,4,4,240004,240004,4,0,0,4,0,0,0,0,4
